flow_id,payload_length,time_diff
1,1500,0.00193583604414016
1,7,1e-06
1,1500,0.010682860389351845
1,6,0.003174114041030407
1,8,0.0037112643476575613
1,2,0.003647821955382824
1,100,0.02944830246269703
1,6,0.002089515095576644
1,1500,0.002716897986829281
1,1500,0.0014679367886856198
1,2,0.0026211407966911793
2,1477,0.0024583193007856607
2,6,0.00016922951908782125
2,215,0.0136118084192276
2,6,0.0015156319132074714
2,8,0.0007798849255777895
2,12,0.0005130884819664061
2,214,0.0004990243469364941
2,11,0.004384239669889212
2,2,0.0017955283401533961
2,11,0.0018464025342836976
2,2,0.0030655995942652225
3,7,0.003543165745213628
3,2,0.004908736329525709
3,1500,0.0010377331636846066
3,1500,0.0005636178539134562
3,13,0.003646871540695429
3,1498,0.003485879860818386
3,1496,0.0024090157821774483
3,1467,0.004708310589194298
3,6,0.0005799488280899823
3,11,0.002049639355391264
4,7,0.0010591738391667604
4,7,0.000641044054646045
4,12,0.0017293891869485378
4,6,0.0018691358854994178
4,7,1e-06
4,6,0.001705234288237989
4,1500,0.0037011192180216312
4,1,0.001273634028621018
4,12,1e-06
4,1,0.0009171453421004117
5,7,0.0019205721328034997
5,6,0.0019799338188022375
5,12,0.0001702730660326779
5,6,0.0010996272321790457
5,7,0.0006003697053529322
5,2,0.0031107852701097727
5,12,0.004138402175158262
5,309,0.013868218287825584
5,289,0.0005274462164379656
5,7,0.000735872017685324
6,7,0.002684015082195401
6,1500,0.0003269946319051087
6,6,0.0014800219796597958
6,1,0.0021335138007998466
6,2,0.000934588082600385
6,2,0.0020571707282215357
6,4,0.002227006247267127
6,164,0.0008779664640314877
6,246,0.018506795167922974
6,1500,0.004360571037977934
6,6,0.0015580813633278012
7,2,0.0028587214183062315
7,2,0.005996619816869497
7,6,0.003082846524193883
7,1500,0.004128656350076199
7,1500,1e-06
7,261,0.0005286979139782488
7,1500,0.0035313651897013187
7,1500,8.146726759150624e-05
7,12,0.0005588622880168259
7,1341,0.0003832711954601109
7,68,0.011174384504556656
8,7,0.0016604653792455792
8,1500,0.003197925863787532
8,6,0.0018114217091351748
8,0,0.01965245045721531
8,234,0.00047568284207955003
8,1381,1e-06
8,6,0.0018367146840319037
8,2,0.0032492349855601788
8,20,0.006324986461549997
8,2,0.003220692975446582
8,6,0.0017499456880614161
8,4,0.0005516671226359904
8,19,1e-06
8,11,0.019999319687485695
8,2,0.003244080813601613
8,7,0.000721788324881345
8,6,0.0004760258016176522
8,12,0.0013640428660437465
8,1500,0.003844182938337326
8,7,0.0014515153598040342
8,1,0.0005309091066010296
8,6,0.0032872764859348536
8,7,0.0029903617687523365
8,5,0.0009105036151595414
8,7,0.00200487463735044
8,6,0.000962478865403682
8,2,0.003026354592293501
8,2,0.0026568572502583265
8,7,0.004084731452167034
8,162,0.0006606635288335383
8,7,0.0012689420254901052
8,2,0.002942948369309306
8,2,0.0012081024469807744
8,7,0.002518591471016407
9,7,1e-06
9,6,0.0006428768974728882
9,6,0.0008687077206559479
9,1500,1e-06
9,1457,0.0030817913357168436
9,6,0.0008002450340427458
9,1438,1e-06
9,6,0.003308360930532217
9,6,0.0006648265407420695
9,6,0.00044018757762387395
9,6,0.0017306008376181126
9,6,0.000829316966701299
9,8,0.001029372215270996
9,1427,0.002542440313845873
9,2,0.0008555574459023774
10,1500,1e-06
10,1500,0.0005523507134057581
10,12,0.0011815145844593644
10,1500,0.00325513887219131
10,1497,0.0031712709460407495
10,6,0.0007613397319801152
10,6,0.0010187181178480387
10,24,0.0067228348925709724
10,7,0.0030731293372809887
11,16,0.002825583331286907
11,2,0.0026940512470901012
11,1500,0.0030336533673107624
11,1500,0.002360668033361435
11,2,0.0022808678913861513
11,1500,0.0007021751371212304
11,2,0.000508512428496033
11,2,0.0031330182682722807
11,2,0.002918598474934697
11,1,0.00215042638592422
12,6,7.656594971194863e-05
12,244,0.0006849023629911244
12,29,0.016235698014497757
12,2,0.002216641791164875
12,1500,0.0008536978275515139
12,27,0.022797858342528343
12,1500,0.004029127303510904
12,1448,0.004278203006833792
12,7,0.0005619214498437941
12,12,1e-06
13,7,0.0006794329383410513
13,6,0.00015926739433780313
13,1500,0.017830584198236465
13,140,0.0003023020108230412
13,220,0.0005896301590837538
13,6,0.0010911091230809689
13,1500,0.0008130299975164235
13,2,0.003730924567207694
13,7,0.0014616157859563828
13,1,0.0032753455452620983
13,19,0.001442885142751038
13,1500,0.004059313330799341
13,7,0.002606346970424056
13,1500,0.0029666528571397066
13,47,0.014506030827760696
14,6,0.0005495073855854571
14,1500,0.0024814140051603317
14,12,0.0030200628098100424
14,248,0.0007329299696721137
14,6,0.0025028237141668797
14,1500,0.0011076994705945253
14,2,1e-06
14,19,0.001168732880614698
14,6,1e-06
14,1500,0.0032144144643098116
14,6,0.003680834313854575
15,1500,1e-06
15,0,0.009424904361367226
15,6,0.0014523621648550034
15,1396,0.00172857113648206
15,2,0.004027244634926319
15,133,0.0007807606016285717
15,2,0.0011543856235221028
15,134,0.01354739535599947
15,217,0.0006737823714502156
15,428,0.00035262323217466474
16,6,1.0012279290094739e-06
16,2,0.0016368712531402707
16,1500,0.002616315381601453
16,1500,0.003429918549954891
16,7,0.002386608626693487
16,6,0.001534735318273306
16,6,0.0012667442206293344
16,2,0.003105469048023224
16,221,0.0006594118312932551
16,6,0.0002777467598207295
16,701,0.00020168005721643567
17,7,1e-06
17,6,0.0011529753683134913
17,6,0.0013834835262969136
17,11,0.0029206641484051943
17,6,1e-06
17,1500,0.0009299442754127085
17,8,0.005176380276679993
17,1500,0.0018525674240663648
17,560,1e-06
17,7,0.00047126534627750516
18,1500,1e-06
18,2,0.0008916266378946602
18,5,0.00017437158385291696
18,1479,0.002101057907566428
18,6,1e-06
18,1500,0.001993861747905612
18,6,0.003028464736416936
18,6,0.0017187795601785183
18,1500,0.0029346859082579613
18,7,1e-06
19,7,0.0010222431737929583
19,170,0.0005415408522821963
19,2,0.0022733306977897882
19,6,0.0019632738549262285
19,13,0.006797400768846273
19,1443,0.003675354877486825
19,11,1e-06
19,6,0.0013368555810302496
19,7,1e-06
19,1500,0.0040157875046133995
19,8,0.004685474559664726
19,257,0.00041964888805523515
19,8,0.0001358877052552998
19,2,0.002584942849352956
19,2,0.001984212314710021
19,1500,0.00024606642546132207
19,7,0.002020050771534443
19,1500,0.0015752759063616395
19,1500,0.0017210278892889619
19,6,0.0013628378510475159
19,8,1e-06
19,6,1e-06
19,1473,0.002789977239444852
19,7,0.00024536700220778584
20,2,0.0046341815032064915
20,1500,0.001431305892765522
20,1500,0.002725980244576931
20,7,0.0015094525879248977
20,1500,0.00224870047532022
20,6,0.003909269813448191
20,7,0.002169436076655984
20,72,0.013377726078033447
20,1500,0.004312549717724323
21,1500,0.0013672400964424014
21,6,0.0027003129944205284
21,163,0.0004057586775161326
21,2,0.0037367199547588825
21,12,0.006996358744800091
21,1500,0.005645232740789652
21,1500,0.0010919375345110893
21,1058,0.011626316234469414
21,6,1e-06
21,181,0.016579385846853256
21,1415,0.0013964124955236912
21,7,0.0002151504741050303
21,228,0.0007188679301179945
21,5,0.001932003884576261
21,6,0.0023480302188545465
21,2,0.0034918750170618296
21,1500,0.0009146000375039876
21,7,0.0022418713197112083
21,6,0.0020476048812270164
21,7,0.0034941271878778934
21,7,1e-06
22,176,0.0004976862692274153
22,6,0.0030458776745945215
22,336,0.011175285093486309
22,7,0.0014360366621986032
22,1500,0.0004153766785748303
22,1500,0.0003853212692774832
22,1498,0.0004558272776193917
22,6,0.0003841296420432627
22,1371,0.000948700646404177
22,7,0.0013042382197454572
22,5,0.0001386430230922997
23,1500,0.004227826837450266
23,1499,0.0010346253402531147
23,6,0.0016712478827685118
23,6,0.0007532055606134236
23,6,0.00012283801333978772
23,6,1e-06
23,555,0.0001747625065036118
23,1500,0.0014081817353144288
23,12,0.0008081172709353268
23,1500,0.0002872874611057341
24,6,0.0011700490722432733
24,6,0.0012207707623019814
24,7,1e-06
24,6,0.0019424360943958163
24,1500,0.0032506498973816633
24,6,0.0026553617790341377
